name,Affiliation,Citations
yiming wang,Ph.D. student,1380
asif ekbal,University of Pittsburgh,2171
david reitter,Department of Computer Science and Engineering,3553
ankur bapna,Google Research; Penn State,1587
orhan firat,Google Research,804
jiaju du,Google AI,3095
jiangtong li,Alibaba DAMO Academy,133
joeran beel,Professor of Beijing Jiaotong University,45649
wonjin yoon,Assistant Professor in Intelligent Systems at Trinity College Dublin / ADAPT Centre,2934
deric pang,PhD Student,405
yuhong guo,Google,411
wei li,Professor,3484
jetic gū,Professor of Bioinformatics,40859
anoop sarkar,Grad Student,9
shobhit jain,Professor of Computing Science,3722
ping wang,Department of Computer Science,1879
hao li,Professor of Key Laboratory of Biomedical Engineering of Ministry of Education,20705
trevor cohn,Laboratoire de recherche en informatique,18269
kyle richardson,School of Computing and Information Systems,5920
zhuohan li,The Allen Institute for Artificial Intelligence,130
jordi pons,UC Berkeley,93
xavier serra,Institute for Research in Biomedicine,2940
ioannis konstas,Department of Information and Communication Technologies,8951
stefan roth,Heriot-Watt University,2021
pankaj gupta,Professor of Computer Science,20895
deepak gopinath,Birla Institute of Technology,23136
sébastien jean,Northwestern University,82
martin andrews,Professor of Computer Science,9253
yusuke fujita,University of St Andrews,9902
haochen liu,Hitachi,217
ishita dasgupta,Michigan State University,55
sheng shen,Postdoctoral Researcher,158
yichen jiang,Panasonic R&D Center Singapore,3808
ting-hao kenneth huang,UNC Chapel Hill,49
yibo sun,Pennsylvania State University,590
paulo quaresma,Harbin Institute of Technology,104
bill byrne,Universidade de Évora,1724
dirk neumann,Professor in Information Engineering,5507
przemysław kazienko,Albert-Ludwigs-Universität Freiburg,5125
kamrun naher keya,Politechnika Wrocławska,3385
mitja nikolaus,Ph.D. Student,21
binny mathew,Professor of Biology,1057
bowen yu,PhD student at Indian Institute of Technology Kharagpur,86
matthew e. peters,New York University,293
dawei song,Sr Research Scientist,6624
bin guo,Open University,3266
zhiwen yu,Professor of Computer Science,5964
christopher pal,Northwestern Polytechnical University,8892
margaret li,Professor,51515
sepp hochreiter,Facebook AI Research,79
tianyu cui,Institute for Machine Learning;Johannes Kepler University,49984
wei xia,Aalto University,19
andy lücking,Ruhr-University Bochum,5748
jason alan fries,Université de Paris;Goethe-Universtität Frankfurt am Main,728
ali basirat,Professor of Computer Science;Goethe University Frankfurt am,2472
matīss rikters,Stanford University,477
toshiaki nakazawa,Post Doctoral Researcher;Department of Linguistics and,82
chun-nan hsu,Postdoctoral Researcher at The University of Tokyo,119
maryann e. martone,The University of Tokyo;,671
qi liu,University of California;San Diego,6074
ali hürriyetoğlu,Professor of Neuroscience;University of California;San,47611
tarik a. rashid,University of alberta,63358
kaustav goswami,Founder&CEO of Horizon Robotics ;Founder of Baidu IDL and,22483
anderson soares da silva,Assistant Professor;Rutgers;The State University of New,1640
kwadwo osei bonsu,University of Pittsburgh,12883
arseniy gorin,Koc University,223
stefan heid,Computer Science and Engineering;University of Kurdistan,605
eyke hüllermeier,Technical University of Denmark;,75
jungyun seo,Prof. Dr. em Ciências Médicas;Universidade de São Paulo,15132
mengli chen,Memorial University of Newfoundland,181
xiaobo wang,R&D engineer;Behavox,117
paul tarau,Assistant Managing Director;Microsoft Research Asia; IEEE,25070
eduardo blanco calvo,Covestro,1690
nicole fitzgerald,Römisches Institut der Görres-Gesellschaft,317
jacopo tagliabue,Professor of Computer Science;Paderborn University,12857
tristan miller,Professor of Computer Science;Sogang University,2794
marios fragkoulis,Tropical Marine Science Institute,77
asterios katsifodimos,Writing Center Director;Emory University;Oxford College,11768
daniel kershaw,Professor of Computer Science;University of North Texas,6149
rob koeling,University of Lleida,1096
ondřej dušek,Microsoft Research,3
monica sunkara,Coveo,119
xiaoyu yang,Austrian Research Institute for Artificial Intelligence,750
xiaodan zhu,Professor of Computer Science;Technische Universität,11526
badr abdullah,Postdoc researcher;Delft University of Technology,108
hailing jin,Assistant Professor at TU Delft,1398
ilyos rabbimov,Professor of Language Technology;University of Helsinki,5993
yuqing tang,Elsevier,71
charles wang,Elsevier,1466
trung h. bui,Institute of Formal and Applied Linguistics;Charles,1162
li qian (钱黎）,Amazon,1
lifang he,Amazon,4784
burak gürel,Wuhan university of technology,5101
zhang zhang,ECE & Ingenuity Labs Research Institute;Queens University;,5159
ding-xiong wang,Liverpool John Moores University,189
nabil hossain,Saarland Informatics Campus;Saarland University,4315
ernest davis,Professor & Cy Mouradick Endowed Chair;University of,10911
yiqun liu,PhD student;Samarkand State University,1
gennady pekhimenko,Facebook AI,683
daniel lee,Facebook AI Research,1852
arjun mukherjee,Professor/Director;Center for Genomics;Loma Linda,7832
frank b. hu,Senior Research Scientist;Adobe Research,793
marco pavone,Professor;Electrical and Computer Engineering;University of,3317
tiziano fagni,Lehigh University,1134
maurizio tesconi,Koç University;Department of Sociology,133
cristina zuheros,University of Tokyo,16
francisco herrera,Xinyang Normal University,906
patrick schrempf,Professor of Physics;Huazhong University of Science &,56403
monika aggarwal,PhD Candidate in Computer Science;University of Rochester,203
joshua l. payne,Professor of Computer Science;University of Rochester,31952
vineet kosaraju,Professor of Computer Science,4607
sandhya aneja,Delft University of Technology;Department of Biomechanical,4155
nagender aneja,PhD Student;Wayne State University,79
tom a. williams,University of Toronto,2417
joseph worsham,Massachusetts Eye and Ear Infirmary,43154
han zhang,Department of Computer Science;University of Houston,4271
hongyu zhang,Harvard School of Public Health,319783
irene yu-hua gu,Professor of School of Electrical and Computer Engineering,69032
mihaela gaman,Associate Professor of Aeronautics and Astronautics;Stanford,5042
paul tardy,Researcher;IIT-CNR;Pisa;Italy,598
jinchuan zheng,Web Applications for the Future Internet Group (WAFI) - IIT -,2222
steven ch hoi,University of Granada,23
victor dibia,Professor Computer Science and AI;Granada Univ.; Senior,86334
divya gopinath,EngD Student;Canon Medical Research Europe & University of,67
ying-hao eddie chu,,537
subrata roy,Associate Professor;Massachusetts Institute of Technology,7871
stefan dietze,SNSF Assistant Professor;ETH Zurich,927
shou-dong lee,Stanford University,284
jiayuan ding,Universiti Brunei Darussalam,316
mayank  kejriwal,Universiti Brunei Darussalam,137
cynthia matuszek,Royal Society University Research Fellow/Senior Lecturer,2257
sourya basu,PhD Candidate;University of Colorado Colorado Springs,7
mirko lai,University of Colorado;Colorado Springs,6518
paolo rosso,Associate professor & Delft Technology Fellow;Delft,1372
markus gross,Professor and Director;Email: hzhang@szu.edu.cn,33533
yuhao zhang,www.hongyu.org,19821
tzung-jiun tsai,Professor of Computer Science and Engineering;The Ohio-State,6633
sivaji bandyopadhyay,Professor of Image/Signal Processing;Chalmers University of,9745
katy borner,Senior Director;Precision Health NLP;Microsoft Research,4592
james ravenscroft,emergency university hospital bucharest;carol davila,48
harm de vries,Full Professor;University of Bucharest;Romania,1518
christopher d manning,Bar-Ilan University,2028
наталья лукашевич;natalia loukachevitch;natalia
 loukashevich;,Indian Institute of Technology Kanpur,374
marc allassonnière-tang,LIUM;Le Mans University;France,1
qian-yi zhou,Professor in Computer Science;University of Avignon;France,1969
liang-nian he,Associate Professor of Robotics and Mechatronics;Swinburne,1789
xinzhi wang,Managing Director of Salesforce Research Asia; IEEE Fellow;,12108
hui zhang,Cloudera Fast Forward Labs,144
manzil zaheer,Partner Applied Scientist;Microsoft,6000
amr ahmed,Principal Science Manager;Microsoft Corp.,8154
fatima t. husain,NASA Ames;KBR Inc.,372
ozlem uzuner,National Chiao Tung university,24248
liyuan li,Associate Professor of Computer Science;Carnegie Mellon,6587
xuejie zhang,Aditya Birla Science and Technology Co. Ltd.,1775
risto miikkulainen,Full Professor (Heinrich-Heine-University Düsseldorf) &,2535
bharath kumar kandimalla,Toyota Research Institute,913
c lee giles,Cheng Hsin General Hospital;Taipei;Taiwan,45318
nobal b niraula,VMware,18
diwa koirala,Research Assistant Professor;USC Viterbi School of,367
gulmira tolegen,Assistant Professor;UMBC,2294
robin algayres,Graduate Student;ECE Department;University of Illinois at,9
serena (seo young) kim,University of Illinois at Urbana-Champaign,4645
soumya priyadarsini panda,Post Doc at Università degli Studi di Torino,187
ali safaya,Full Professor;Computer Science;Universitat Politècnica de,12483
bin fu,ETH Zurich;Disney Research Zurich,36939
jian sun,Assistant Professor;CPES;Virginia Tech,1786
mark p. mattson,Professor and Associate Chair for Information Systems,8086
jia-su wang,高雄榮民總醫院,119
megan anita witherow,Professor of Computer Science and Engineering;Jadavpur,6502
guo-jun qi,Victor H. Yngve Distinguished Professor of Engineering and,11077
ahmed abbasi,PhD Student;Warwick University and CTO;Filament Consultancy,124
ted pedersen,Professor Queen Mary University of London/University of,3538
bekir melih bayrak,Element AI,2052
christian meurisch,Professor of Computer Science and Linguistics;Stanford,137475
naman jain,Leading Researcher of Lomonosov Moscow State University,3467
dr mayank singh,Dynamique Du Langage (DDL) Lab;University Lyon 2;France,22
david yu-tung hui,Intel Labs,2729
soroush javdan,Professor of Chemistry;Nankai Univerisity,10259
xiaoxue zhang,Harbin Institute of Technology,1210
jingdong chen,Associate Professor;Institute of Acoustics;School of,68552
anup anand deshmukh,Carnegie Mellon University,1888
douglas teodoro,Senior Staff Research Scientist;Google AI,6391
jaeyoul shin,University of Illinois at Urbana-Champaign,1616
siddhant arora,George Mason University,5295
tianlong chen,university of Melbourne student,78163
michael carbin,Research Scientist;Temasek Laboratories@NTU,65
dr. anurag roy,University of California;Berkeley,59461
saptarshi ghosh,Professor of Computer Science;the University of Texas at,19760
oladapo oyebode,Amazon Web Services,4
rita orji,Pennsylvania State University,43999
dhruv aditya srivastava,Boeing Research & Technology,760
dr. harsha vardhan reddy,University Of Tennessee Health Science Center,46
andreia sofia teixeira,National Laboratory Astana,23
massimo stella,Ecole Normale Supérieure/PSL/Inria,33
wang jing tao,Professor of Cognitive Psychology;Ecole des Hautes Etudes en,16926
zhongfei (mark) zhang,Associate Professor of Computer Science;IIT Kharagpur,2021
kyung min lee,University of Colorado,21
jaewon lee,Assistant Professor;Department of CSE;Silicon Institute of,84
kannan achan,Koç University,5
swati padhee,Professor of Computer Engineering;Koc University;Istanbul,3667
jaime alejandro rodriguez,Australian National University,5387
bo wu,Chief Scientist/Managing Director of Megvii (Face++),143533
arnaud giacometti,Johns Hopkins University School of Medicine,171930
nicole peinelt,Proffesor,425543
madhura jayaratne,PhD Student;Old Dominion University,31
mohamed shawky el moursi,Computer Science;University of Central Florida,9220
md aminul islam,University of Notre Dame;Joe and Jane Giovanini Endowed,5729
mingxuan chen,Professor of Computer Science;University of Minnesota Duluth,10889
kp subbalakshmi,,11
yu zhou,TU Darmstadt;Germany,308
xiaojie wang,,168
